,Eruption Number,dt
1615,22333,1999-01-19
1616,15330,1999-02-01
1617,19476,1999-02-05
1618,15623,1999-02-05
1619,15176,1999-02-16
1620,19375,1999-02-25
1621,15394,1999-03-09
1622,20097,1999-03-13
1623,16206,1999-03-15
1624,16539,1999-03-16
1625,15527,1999-03-16
1626,14134,1999-03-28
1627,16299,1999-03-31
1628,19588,1999-04-03
1629,12976,1999-04-05
1630,15476,1999-04-16
1631,10887,1999-05-01
1632,15763,1999-05-01
1633,15205,1999-05-16
1634,10732,1999-05-21
1635,10934,1999-05-21
1636,16350,1999-05-22
1637,14717,1999-06-06
1638,16944,1999-06-15
1639,16808,1999-06-22
1640,16175,1999-06-28
1641,14377,1999-07-19
1642,16156,1999-07-30
1643,10970,1999-08-05
1644,19594,1999-08-15
1645,18420,1999-09-10
1646,11643,1999-10-05
1647,18765,1999-10-07
1648,15062,1999-10-20
1649,15178,1999-11-16
1650,11036,1999-11-22
1651,11072,1999-12-27
1652,16999,2000-01-16
1653,14080,2000-01-27
1654,19477,2000-02-03
1655,14378,2000-02-14
1656,16945,2000-02-24
1657,12754,2000-02-26
1658,15139,2000-02-28
1659,15206,2000-02-29
1660,14494,2000-03-07
1661,14409,2000-03-07
1662,15477,2000-03-11
1663,19376,2000-03-14
1664,18972,2000-03-17
1665,11375,2000-03-21
1666,18602,2000-03-31
1667,11751,2000-04-16
1668,16460,2000-05-10
1669,13204,2000-05-13
1670,16435,2000-05-13
1671,14135,2000-05-28
1672,15624,2000-05-29
1673,14928,2000-06-03
1674,14379,2000-06-23
1675,18273,2000-06-27
1676,18973,2000-06-30
1677,12011,2000-07-01
1678,16161,2000-07-09
1679,16809,2000-07-16
1680,19377,2000-07-18
1681,11873,2000-07-20
1682,19478,2000-07-28
1683,10763,2000-08-16
1684,15548,2000-08-22
1685,18582,2000-09-04
1686,15063,2000-09-28
1687,17000,2000-10-16
1688,16062,2000-11-29
1689,16946,2000-12-19
1690,15395,2000-12-25
1691,16810,2001-01-08
1692,18274,2001-01-11
1693,16258,2001-01-11
1694,15064,2001-01-16
1695,10935,2001-01-17
1696,19816,2001-02-02
1697,14081,2001-02-06
1698,14495,2001-02-19
1699,14380,2001-03-27
1700,15478,2001-04-13
1701,11037,2001-04-23
1702,18474,2001-04-24
1703,14397,2001-05-03
1704,10888,2001-05-11
1705,15528,2001-05-12
1706,16580,2001-05-28
1707,15317,2001-06-08
1708,14381,2001-06-11
1709,14929,2001-06-14
1710,13832,2001-07-17
1711,15625,2001-07-21
1712,19378,2001-07-23
1713,15065,2001-08-28
1714,18421,2001-09-21
1715,15494,2001-09-25
1716,14772,2001-09-27
1717,13205,2001-10-01
1718,19104,2001-10-05
1719,19880,2001-10-31
1720,19187,2001-11-15
1721,13144,2001-11-24
1722,11497,2001-11-26
1723,12468,2001-12-04
1724,19379,2001-12-10
1725,13835,2001-12-16
1726,10733,2002-01-04
1727,14382,2002-01-05
1728,14930,2002-01-13
1729,10866,2002-01-16
1730,14106,2002-01-17
1731,18855,2002-01-25
1732,16461,2002-02-09
1733,15331,2002-03-16
1734,19479,2002-04-09
1735,11498,2002-04-16
1736,17001,2002-05-11
1737,14107,2002-05-17
1738,14718,2002-05-24
1739,14998,2002-05-25
1740,10889,2002-05-29
1741,19886,2002-05-30
1742,11376,2002-06-07
1743,16162,2002-06-16
1744,19765,2002-07-16
1745,14082,2002-07-25
1746,15027,2002-08-03
1747,18372,2002-08-12
1748,15066,2002-08-22
1749,20173,2002-09-24
1750,16493,2002-09-25
1751,15098,2002-10-06
1752,11499,2002-10-11
1753,16811,2002-10-11
1754,16300,2002-10-12
1755,12074,2002-10-13
1756,10936,2002-10-17
1757,11875,2002-10-26
1758,13836,2002-10-26
1759,14931,2002-10-31
1760,14719,2002-11-01
1761,11446,2002-11-03
1762,15688,2002-11-11
1763,14383,2002-11-16
1764,19480,2002-11-24
1765,16747,2002-11-28
1766,16462,2002-12-23
1767,19380,2002-12-25
1768,17809,2003-02-06
1769,17002,2003-02-16
1770,16748,2003-03-07
1771,13837,2003-03-08
1772,16812,2003-03-17
1773,12075,2003-04-09
1774,14720,2003-04-10
1775,15071,2003-04-14
1776,14803,2003-04-16
1777,18856,2003-04-17
1778,18535,2003-05-10
1779,14932,2003-05-17
1780,12180,2003-05-23
1781,16304,2003-05-30
1782,14384,2003-05-30
1783,10326,2003-05-31
1784,15318,2003-06-08
1785,14410,2003-06-09
1786,10890,2003-06-17
1787,16308,2003-06-26
1788,18539,2003-07-02
1789,17348,2003-07-10
1790,15791,2003-07-16
1791,19381,2003-07-26
1792,11752,2003-07-30
1793,16675,2003-07-31
1794,11992,2003-08-29
1795,16463,2003-09-12
1796,11038,2003-09-22
1797,14933,2003-10-26
1798,17349,2004-01-14
1799,19382,2004-01-14
1800,14999,2004-01-20
1801,16275,2004-01-29
1802,13838,2004-02-12
1803,20174,2004-02-16
1804,15332,2004-02-16
1805,20100,2004-02-17
1806,18661,2004-02-25
1807,12347,2004-03-03
1808,17003,2004-03-05
1809,15179,2004-03-15
1810,14752,2004-03-19
1811,10937,2004-03-31
1812,16540,2004-04-02
1813,18536,2004-04-12
1814,15072,2004-04-12
1815,14385,2004-05-02
1816,14083,2004-05-08
1817,16581,2004-05-16
1818,10552,2004-05-26
1819,16570,2004-06-02
1820,16814,2004-06-03
1821,16063,2004-06-08
1822,15529,2004-06-22
1823,14414,2004-06-24
1824,16276,2004-07-03
1825,19766,2004-07-04
1826,11377,2004-07-16
1827,19887,2004-07-19
1828,18830,2004-07-20
1829,13145,2004-07-29
1830,12181,2004-08-05
1831,15479,2004-08-05
1832,17810,2004-09-01
1833,13846,2004-09-07
1834,19481,2004-09-15
1835,15319,2004-09-16
1836,20560,2004-10-01
1837,16226,2004-10-01
1838,16436,2004-10-18
1839,16947,2004-10-23
1840,14934,2004-10-24
1841,12842,2004-11-01
1842,10938,2004-11-05
1843,11447,2004-11-07
1844,15000,2004-11-24
1845,18275,2004-11-30
1846,10891,2004-12-03
1847,20175,2005-01-04
1848,10556,2005-01-09
1849,19482,2005-01-20
1850,16749,2005-01-25
1851,15099,2005-01-25
1852,18877,2005-01-29
1853,15320,2005-01-30
1854,16277,2005-02-06
1855,14386,2005-02-17
1856,19767,2005-02-23
1857,14721,2005-03-02
1858,11040,2005-03-04
1859,18857,2005-03-12
1860,19817,2005-03-13
1861,15073,2005-03-27
1862,15496,2005-04-12
1863,18276,2005-04-12
1864,17350,2005-04-14
1865,12348,2005-04-15
1866,14205,2005-04-16
1867,16437,2005-04-19
1868,15001,2005-04-19
1869,11877,2005-05-04
1870,11676,2005-05-13
1871,15386,2005-05-26
1872,10768,2005-06-16
1873,18467,2005-07-02
1874,14399,2005-07-12
1875,11073,2005-07-28
1876,10346,2005-08-16
1877,16815,2005-08-17
1878,20176,2005-09-07
1879,13942,2005-09-26
1880,14388,2005-10-04
1881,15007,2005-10-16
1882,11713,2005-10-22
1883,15321,2005-10-27
1884,10892,2005-11-13
1885,11378,2005-11-24
1886,14206,2005-11-24
1887,15237,2005-11-27
1888,19383,2005-11-29
1889,20273,2005-12-09
1890,13847,2005-12-16
1891,20947,2005-12-22
1892,16433,2005-12-26
1893,19818,2006-02-06
1894,15209,2006-02-11
1895,18277,2006-02-17
1896,16816,2006-02-21
1897,15074,2006-03-01
1898,20177,2006-03-03
1899,22213,2006-03-09
1900,14412,2006-03-11
1901,15923,2006-03-16
1902,14702,2006-03-17
1903,18537,2006-03-20
1904,16770,2006-03-21
1905,18704,2006-03-21
1906,11189,2006-03-24
1907,11791,2006-03-25
1908,19384,2006-04-16
1909,11878,2006-04-18
1910,14207,2006-05-28
1911,16638,2006-06-03
1912,16541,2006-07-03
1913,16817,2006-07-13
1914,13848,2006-07-14
1915,14389,2006-07-20
1916,11041,2006-08-04
1917,10939,2006-08-04
1918,14771,2006-08-07
1919,15002,2006-08-09
1920,15100,2006-08-11
1921,18278,2006-08-23
1922,11074,2006-09-01
1923,15497,2006-09-10
1924,20250,2006-09-17
1925,11190,2006-09-25
1926,15574,2006-09-25
1927,14668,2006-10-04
1928,16771,2006-10-10
1929,14976,2006-10-17
1930,15296,2006-11-08
1931,19768,2006-11-25
1932,14084,2006-11-27
1933,18522,2006-12-04
1934,10940,2006-12-11
1935,14722,2006-12-12
1936,16434,2006-12-14
1937,14208,2007-01-12
1938,16353,2007-01-17
1939,11075,2007-02-09
1940,19483,2007-02-15
1941,11312,2007-02-19
1942,18858,2007-03-04
1943,11448,2007-03-15
1944,15498,2007-03-19
1945,13849,2007-03-19
1946,20962,2007-03-24
1947,15180,2007-04-02
1948,15322,2007-04-21
1949,15075,2007-05-01
1950,19385,2007-05-10
1951,14977,2007-05-19
1952,12076,2007-05-26
1953,13828,2007-06-16
1954,16438,2007-06-16
1955,19825,2007-06-17
1956,16595,2007-07-08
1957,16165,2007-07-26
1958,13943,2007-08-12
1959,20153,2007-08-15
1960,18859,2007-08-19
1961,15029,2007-08-28
1962,15531,2007-09-09
1963,14669,2007-09-25
1964,13923,2007-09-30
1965,11379,2007-10-04
1966,15958,2007-10-16
1967,15626,2007-10-23
1968,10942,2007-10-28
1969,10893,2007-11-08
1970,11076,2007-11-24
1971,18538,2007-11-27
1972,15499,2007-11-27
1973,12077,2008-01-01
1974,11313,2008-01-02
1975,18279,2008-01-07
1976,11191,2008-01-13
1977,14723,2008-02-08
1978,17351,2008-02-17
1979,20178,2008-02-22
1980,15008,2008-03-11
1981,15532,2008-03-24
1982,16582,2008-04-05
1983,16278,2008-04-15
1984,11042,2008-04-29
1985,12271,2008-05-02
1986,18280,2008-05-08
1987,13852,2008-05-13
1988,15387,2008-05-13
1989,15297,2008-05-23
1990,11720,2008-05-29
1991,16439,2008-06-06
1992,16166,2008-06-12
1993,10894,2008-06-22
1994,14676,2008-07-02
1995,10943,2008-07-05
1996,19386,2008-07-11
1997,19852,2008-07-12
1998,15009,2008-07-13
1999,11449,2008-07-27
2000,18860,2008-07-29
2001,11077,2008-07-30
2002,19745,2008-08-07
2003,17811,2008-08-10
2004,16818,2008-08-10
2005,17163,2008-08-22
2006,15210,2008-09-19
2007,14390,2008-09-21
2008,19484,2008-10-08
2009,11380,2008-10-21
2010,11314,2008-10-26
2011,12182,2008-10-26
2012,13927,2008-11-03
2013,14800,2008-11-16
2014,14799,2008-11-16
2015,18707,2008-11-18
2016,10895,2008-11-21
2017,16543,2008-11-29
2018,19045,2008-12-23
2019,15575,2009-01-01
2020,19826,2009-01-02
2021,11192,2009-01-12
2022,15792,2009-01-15
2023,17812,2009-01-21
2024,12183,2009-01-29
2025,18878,2009-02-11
2026,20391,2009-03-15
2027,14733,2009-03-17
2028,15633,2009-03-25
2029,18281,2009-04-01
2030,15533,2009-04-01
2031,11677,2009-04-10
2032,15765,2009-04-21
2033,16227,2009-05-02
2034,22197,2009-05-04
2035,18819,2009-06-11
2036,19827,2009-06-25
2037,13944,2009-06-28
2038,19485,2009-08-01
2039,10896,2009-09-06
2040,16819,2009-09-15
2041,15003,2009-09-16
2042,15793,2009-09-27
2043,15231,2009-09-27
2044,19828,2009-10-02
2045,14391,2009-11-05
2046,11193,2009-11-16
2047,12184,2009-11-22
2048,11080,2009-12-11
2049,19387,2009-12-17
2050,11644,2010-01-01
2051,14085,2010-01-02
2052,11247,2010-01-05
2053,22218,2010-01-05
2054,18469,2010-02-03
2055,12563,2010-03-20
2056,17165,2010-03-30
2057,13853,2010-04-08
2058,18282,2010-04-11
2059,18524,2010-05-03
2060,19388,2010-05-21
2061,15077,2010-05-26
2062,18529,2010-05-27
2063,19819,2010-05-30
2064,19026,2010-06-06
2065,10897,2010-06-09
2066,18833,2010-06-30
2067,18879,2010-07-02
2068,15101,2010-07-23
2069,16544,2010-08-06
2070,14935,2010-08-10
2071,11381,2010-08-25
2072,13854,2010-08-25
2073,15404,2010-08-27
2074,11947,2010-09-06
2075,15388,2010-09-17
2076,14392,2010-10-14
2077,15634,2010-10-25
2078,15925,2010-10-26
2079,16772,2010-11-06
2080,19264,2010-11-11
2081,11645,2010-11-22
2082,16064,2010-11-26
2083,20939,2011-01-04
2084,20829,2011-01-14
2085,20782,2011-01-19
2086,20808,2011-02-17
2087,20792,2011-02-22
2088,20823,2011-03-07
2089,20775,2011-03-11
2090,20810,2011-03-29
2091,20783,2011-03-30
2092,20921,2011-04-06
2093,22214,2011-04-20
2094,20803,2011-04-23
2095,22219,2011-05-13
2096,20753,2011-05-15
2097,20767,2011-05-21
2098,20752,2011-06-04
2099,20809,2011-06-04
2100,22234,2011-06-06
2101,20800,2011-06-13
2102,20790,2011-06-22
2103,20793,2011-06-26
2104,20820,2011-07-03
2105,20758,2011-07-19
2106,20787,2011-07-31
2107,20795,2011-08-03
2108,10898,2011-08-21
2109,20812,2011-08-22
2110,20938,2011-09-17
2111,20769,2011-10-10
2112,20770,2011-10-26
2113,20801,2011-11-06
2114,22215,2011-11-27
2115,20765,2011-12-05
2116,22217,2011-12-15
2117,20840,2011-12-18
2118,20791,2012-01-02
2119,20830,2012-01-12
2120,20778,2012-02-01
2121,20772,2012-02-10
2122,20774,2012-02-18
2123,20813,2012-02-19
2124,20814,2012-02-22
2125,20796,2012-03-01
2126,22143,2012-04-30
2127,20805,2012-05-03
2128,20833,2012-05-07
2129,20819,2012-05-08
2130,20764,2012-05-13
2131,20776,2012-05-14
2132,20748,2012-07-17
2133,20799,2012-08-03
2134,20826,2012-08-06
2135,20839,2012-08-07
2136,20761,2012-08-16
2137,20821,2012-08-26
2138,20785,2012-09-01
2139,20768,2012-09-05
2140,20815,2012-09-08
2141,20766,2012-09-15
2142,20794,2012-09-15
2143,20797,2012-09-26
2144,20750,2012-10-05
2145,20806,2012-10-08
2146,22161,2012-10-17
2147,20804,2012-10-30
2148,20834,2012-11-06
2149,20756,2012-11-11
2150,20827,2012-11-21
2151,20825,2012-11-27
2152,20788,2012-12-01
2153,20760,2012-12-22
2154,20816,2012-12-26
2155,20759,2013-01-06
2156,20811,2013-01-19
2157,22235,2013-01-25
2158,20779,2013-01-29
2159,21102,2013-02-13
2160,20754,2013-02-16
2161,20762,2013-02-16
2162,20822,2013-02-21
2163,20802,2013-03-05
2164,20789,2013-04-02
2165,20798,2013-05-07
2166,20807,2013-05-13
2167,20831,2013-05-21
2168,22216,2013-06-02
2169,22220,2013-06-04
2170,20781,2013-06-04
2171,20817,2013-06-07
2172,20757,2013-06-11
2173,20836,2013-06-13
2174,20835,2013-07-08
2175,20838,2013-07-25
2176,20786,2013-08-15
2177,20912,2013-08-20
2178,20832,2013-09-01
2179,20841,2013-09-03
2180,20818,2013-09-15
2181,22195,2013-09-25
2182,21068,2013-09-28
2183,20987,2013-10-05
2184,20918,2013-10-12
2185,20907,2013-10-23
2186,20842,2013-11-18
2187,20916,2013-11-20
2188,20906,2013-12-29
2189,20935,2014-01-13
2190,20937,2014-01-28
2191,20920,2014-01-29
2192,20931,2014-02-03
2193,20941,2014-02-04
2194,20913,2014-02-09
2195,20934,2014-02-13
2196,20933,2014-03-08
2197,20892,2014-03-09
2198,20910,2014-03-26
2199,20932,2014-03-31
2200,22221,2014-04-01
2201,20936,2014-04-24
2202,20942,2014-05-30
2203,20911,2014-05-30
2204,20909,2014-05-31
2205,20908,2014-06-06
2206,20914,2014-06-08
2207,20919,2014-06-21
2208,20956,2014-06-29
2209,20954,2014-07-04
2210,20957,2014-07-07
2211,22267,2014-07-20
2212,20952,2014-08-03
2213,20959,2014-08-12
2214,22222,2014-08-25
2215,20955,2014-08-29
2216,20960,2014-08-30
2217,20961,2014-09-17
2218,20964,2014-09-27
2219,20974,2014-10-29
2220,20975,2014-11-12
2221,22271,2014-11-12
2222,20995,2014-11-18
2223,22223,2014-11-21
2224,20977,2014-11-23
2225,20996,2014-12-02
2226,20989,2014-12-18
2227,20983,2014-12-19
2228,20992,2015-01-01
2229,20988,2015-01-06
2230,22236,2015-01-19
2231,20994,2015-01-26
2232,21070,2015-02-01
2233,20982,2015-02-04
2234,20990,2015-02-16
2235,22268,2015-03-05
2236,20998,2015-03-08
2237,21076,2015-04-22
2238,21092,2015-04-23
2239,21072,2015-05-01
2240,21074,2015-05-07
2241,21071,2015-05-20
2242,21075,2015-05-25
2243,21073,2015-05-29
2244,22157,2015-06-07
2245,22132,2015-06-16
2246,21081,2015-06-16
2247,22304,2015-06-20
2248,21089,2015-06-28
2249,21080,2015-06-29
2250,21086,2015-07-07
2251,21087,2015-07-16
2252,21090,2015-07-23
2253,22233,2015-08-13
2254,21088,2015-08-14
2255,21095,2015-08-28
2256,21093,2015-08-30
2257,21098,2015-09-18
2258,21097,2015-09-23
2259,21096,2015-09-29
2260,22108,2015-10-03
2261,22104,2015-10-25
2262,22110,2015-10-30
2263,22103,2015-11-12
2264,22111,2015-11-14
2265,22106,2015-11-24
2266,22107,2015-12-01
2267,22105,2016-01-02
2268,22119,2016-01-08
2269,22117,2016-01-12
2270,22114,2016-02-22
2271,22237,2016-03-25
2272,22129,2016-03-27
2273,22127,2016-03-29
2274,22159,2016-03-30
2275,22125,2016-03-31
2276,22123,2016-04-02
2277,22128,2016-04-16
2278,22130,2016-04-22
2279,22133,2016-04-24
2280,22121,2016-04-27
2281,22144,2016-05-26
2282,22156,2016-06-05
2283,22151,2016-06-10
2284,22154,2016-06-18
2285,22153,2016-07-27
2286,22149,2016-08-01
2287,22150,2016-08-03
2288,22145,2016-09-11
2289,22147,2016-09-13
2290,22181,2016-09-13
2291,22305,2016-09-21
2292,22178,2016-10-05
2293,22174,2016-10-07
2294,22171,2016-10-11
2295,22176,2016-10-20
2296,22158,2016-11-06
2297,22172,2016-11-15
2298,22177,2016-11-20
2299,22202,2016-11-27
2300,22175,2016-11-29
2301,22182,2016-12-20
2302,22192,2017-01-07
2303,22187,2017-01-15
2304,22185,2017-01-23
2305,22184,2017-01-31
2306,22269,2017-02-18
2307,22188,2017-02-19
2308,22198,2017-03-24
2309,22203,2017-03-25
2310,22260,2017-03-29
2311,22284,2017-04-09
2312,22209,2017-04-12
2313,22207,2017-04-18
2314,22227,2017-04-30
2315,22208,2017-05-23
2316,22232,2017-06-04
2317,22226,2017-06-04
2318,22230,2017-06-04
2319,22229,2017-06-05
2320,22225,2017-06-11
2321,22224,2017-07-14
2322,22228,2017-07-15
2323,22231,2017-07-20
2324,22273,2017-08-13
2325,22252,2017-08-18
2326,22245,2017-09-04
2327,22240,2017-09-06
2328,22242,2017-10-11
2329,22308,2017-10-12
2330,22239,2017-10-21
2331,22248,2017-11-09
2332,22241,2017-11-21
2333,22249,2017-12-09
2334,22246,2018-01-05
2335,22250,2018-01-13
2336,22251,2018-01-14
2337,22258,2018-01-23
2338,22256,2018-02-02
2339,22259,2018-02-25
2340,22257,2018-03-01
2341,22263,2018-04-01
2342,22261,2018-04-03
2343,22315,2018-04-18
2344,22274,2018-04-21
2345,22266,2018-04-22
2346,22262,2018-04-27
2347,22265,2018-04-28
2348,22264,2018-05-11
2349,22285,2018-06-08
2350,22276,2018-06-10
2351,22278,2018-06-16
2352,22275,2018-06-18
2353,22277,2018-06-21
2354,22279,2018-06-26
2355,22337,2018-07-03
2356,22280,2018-07-12
2357,22282,2018-07-28
2358,22283,2018-08-08
2359,22281,2018-08-20
2360,22290,2018-09-04
2361,22288,2018-09-08
2362,22289,2018-09-08
2363,22286,2018-09-21
2364,22292,2018-09-25
2365,22293,2018-10-02
2366,22295,2018-10-04
2367,22296,2018-10-21
2368,22297,2018-11-07
2369,22294,2018-11-25
2370,22313,2018-12-08
2371,22316,2019-02-06
2372,22303,2019-02-07
2373,22309,2019-02-16
2374,22306,2019-02-18
2375,22307,2019-02-18
2376,22311,2019-03-04
2377,22312,2019-03-26
2378,22310,2019-04-09
2379,22317,2019-04-16
2380,22323,2019-05-11
2381,22320,2019-05-16
2382,22322,2019-06-01
2383,22318,2019-06-11
2384,22321,2019-06-22
2385,22324,2019-06-24
2386,22319,2019-06-26
2387,22328,2019-07-16
2388,22329,2019-07-23
2389,22330,2019-07-23
2390,22325,2019-07-26
2391,22336,2019-08-02
2392,22326,2019-08-07
2393,22334,2019-10-13
2394,22335,2019-10-24
2395,22339,2019-11-02
2396,22340,2019-12-05
2397,22341,2019-12-07
2398,22338,2019-12-09
